idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
260,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981009,9,43,1,greedy,random,MEEPLES,51,4,5,9,0,58,W,1,0,1,1,1,1,1
262,MUST_NOT_FEED,greedy:random,1981010,10,106,1,random,greedy,TILES,19,-24,43,8,1,-64,L,1,1,1,1,1,1,1
267,MUST_NOT_FEED,greedy:random,1981008,8,90,1,random,greedy,TILES,27,-12,32,12,0,-42,L,0,0,0,0,0,0,0
268,MUST_PUNISH_WEAK,rod1:random,1980009,9,21,0,random,rod1,MEEPLES,62,-2,3,9,1,-56,L,1,0,1,1,1,1,1
268,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:random,1980009,9,21,0,random,rod1,MEEPLES,62,-2,3,9,1,-56,L,1,0,1,1,1,1,1
266,MUST_NOT_FEED,greedy:random,1981008,8,50,1,random,greedy,TILES,47,-6,20,10,1,-42,L,1,1,1,1,1,1,1
263,MUST_NOT_FEED,greedy:random,1981010,10,134,1,random,greedy,TILES,5,-42,49,8,1,-64,L,1,1,1,1,1,1,1
269,MUST_PUNISH_WEAK,rod1:random,1980009,9,68,0,random,rod1,TILES,38,-12,43,10,0,-56,L,0,1,1,1,1,1,1
271,MUST_NOT_FEED,rod1:random,1980009,9,94,1,rod1,random,TILES,25,36,46,11,1,56,W,1,1,1,1,1,1,1
274,MUST_PUNISH_WEAK,greedy:random,1981013,13,23,1,greedy,random,MEEPLES,61,8,5,9,0,39,W,0,0,1,1,1,1,1
274,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981013,13,23,1,greedy,random,MEEPLES,61,8,5,9,0,39,W,0,0,1,1,1,1,1
273,MUST_PUNISH_WEAK,greedy:random,1981012,12,88,0,greedy,random,TILES,28,6,39,14,1,68,W,0,1,1,1,1,1,1
270,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:random,1980009,9,75,1,rod1,random,MEEPLES,35,20,3,9,1,56,W,1,1,1,1,1,1,1
272,MUST_NOT_FEED,rod1:random,1980009,9,98,1,rod1,random,TILES,23,36,47,11,1,56,W,1,1,1,1,1,1,1
275,MUST_PUNISH_WEAK,greedy:random,1981013,13,24,0,random,greedy,TILES,60,-8,24,8,1,-39,L,0,1,1,1,1,1,1
276,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981013,13,27,1,greedy,random,MEEPLES,59,0,6,12,0,39,W,0,0,1,1,1,1,1
282,MUST_PUNISH_WEAK,greedy:random,1981011,11,25,0,random,greedy,MEEPLES,60,-8,4,9,0,-34,L,0,0,1,1,1,1,1
282,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981011,11,25,0,random,greedy,MEEPLES,60,-8,4,9,0,-34,L,0,0,1,1,1,1,1
277,MUST_NOT_FEED,greedy:random,1981013,13,96,0,random,greedy,TILES,24,-4,58,13,1,-39,L,1,1,1,1,1,1,1
279,MUST_PUNISH_WEAK,random:random,1984001,1,88,0,random,random,TILES,28,-4,40,8,0,-19,L,0,1,1,1,1,1,1
278,MUST_NOT_FEED,greedy:random,1981013,13,100,0,random,greedy,TILES,22,-4,49,13,1,-39,L,1,1,1,1,1,1,1
280,MUST_PUNISH_WEAK,random:random,1984001,1,100,0,random,random,TILES,22,-4,48,8,0,-19,L,0,1,1,1,1,1,1
283,MUST_PUNISH_WEAK,random:random,1984002,2,19,1,random,random,MEEPLES,63,-1,6,9,0,-5,L,0,0,1,1,1,1,1
283,HIGH_VALUE_FARM_CLAIM_REFINED,random:random,1984002,2,19,1,random,random,MEEPLES,63,-1,6,9,0,-5,L,0,0,1,1,1,1,1
284,MUST_PUNISH_WEAK,random:random,1984002,2,21,0,random,random,MEEPLES,62,1,3,9,0,5,W,0,0,0,0,0,0,0
284,HIGH_VALUE_FARM_CLAIM_REFINED,random:random,1984002,2,21,0,random,random,MEEPLES,62,1,3,9,0,5,W,0,0,0,0,0,0,0
281,MUST_NOT_FEED,random:random,1984001,1,120,0,random,random,TILES,12,-4,30,8,1,-19,L,1,1,1,1,1,1,1
285,MUST_PUNISH_WEAK,random:random,1984003,3,36,0,random,random,MEEPLES,54,0,4,9,0,-7,L,0,0,1,1,1,1,1
285,HIGH_VALUE_FARM_CLAIM_REFINED,random:random,1984003,3,36,0,random,random,MEEPLES,54,0,4,9,0,-7,L,0,0,1,1,1,1,1
286,MUST_PUNISH_WEAK,random:random,1984003,3,41,1,random,random,TILES,51,0,26,8,0,7,W,0,0,0,0,0,0,0
290,MUST_PUNISH_WEAK,random:random,1984006,6,5,0,random,random,MEEPLES,70,4,4,9,1,12,W,0,0,1,1,1,1,1
290,HIGH_VALUE_FARM_CLAIM_REFINED,random:random,1984006,6,5,0,random,random,MEEPLES,70,4,4,9,1,12,W,0,0,1,1,1,1,1
288,MUST_NOT_FEED,random:random,1984004,4,94,1,random,random,TILES,25,0,45,8,1,5,W,0,1,1,1,1,1,1
287,MUST_NOT_FEED,random:random,1984004,4,68,0,random,random,TILES,38,0,38,8,1,-5,L,1,1,1,1,1,1,1
293,MUST_PUNISH_WEAK,random:random,1984008,8,3,1,random,random,MEEPLES,71,0,4,9,1,19,W,1,0,1,1,1,1,1
293,HIGH_VALUE_FARM_CLAIM_REFINED,random:random,1984008,8,3,1,random,random,MEEPLES,71,0,4,9,1,19,W,1,0,1,1,1,1,1
291,MUST_PUNISH_WEAK,random:random,1984005,5,9,0,random,random,MEEPLES,68,0,4,9,1,-1,L,0,0,1,1,1,1,1
291,HIGH_VALUE_FARM_CLAIM_REFINED,random:random,1984005,5,9,0,random,random,MEEPLES,68,0,4,9,1,-1,L,0,0,1,1,1,1,1
289,MUST_NOT_FEED,random:random,1984007,7,110,1,random,random,TILES,17,2,39,12,0,-17,L,0,1,1,1,1,1,1
295,MUST_PUNISH_WEAK,rod1:random,1980012,12,36,0,rod1,random,TILES,54,3,30,20,1,70,W,0,1,1,1,1,1,1
