[agree] carcassonne_ai.fair_agent -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/fair_agent.py
[agree] carcassonne_ai.mcts       -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/mcts.py
          s28000000092_p1_r2 16.379s agreeQ_all=False [285/2694 1804/h]
        s28000000080_p140_r1 112.968s agreeQ_all=False [286/2694 1799/h]
        s28000000080_p140_r2 113.934s agreeQ_all=False [287/2694 1801/h]
        s28000000080_p140_r3 116.434s agreeQ_all=False [288/2694 1796/h]
        s28000000090_p116_r1 40.264s agreeQ_all=True [289/2694 1793/h]
        s28000000090_p116_r2 40.829s agreeQ_all=True [290/2694 1790/h]
         s28000000091_p84_r2 37.02s agreeQ_all=True [291/2694 1790/h]
        s28000000090_p116_r3 41.259s agreeQ_all=True [292/2694 1792/h]
         s28000000094_p19_r2 22.366s agreeQ_all=True [293/2694 1793/h]
         s28000000091_p84_r1 40.203s agreeQ_all=True [294/2694 1799/h]
         s28000000094_p19_r3 22.508s agreeQ_all=True [295/2694 1805/h]
         s28000000092_p56_r3 37.612s agreeQ_all=True [296/2694 1798/h]
         s28000000094_p24_r1 24.559s agreeQ_all=True [297/2694 1802/h]
         s28000000092_p56_r1 39.765s agreeQ_all=True [298/2694 1806/h]
        s28000000084_p143_r2 104.967s agreeQ_all=True [299/2694 1811/h]
         s28000000091_p84_r3 45.435s agreeQ_all=True [300/2694 1814/h]
         s28000000093_p98_r1 39.835s agreeQ_all=True [301/2694 1810/h]
         s28000000094_p24_r2 27.197s agreeQ_all=True [302/2694 1813/h]
         s28000000094_p24_r3 25.931s agreeQ_all=True [303/2694 1819/h]
        s28000000095_p130_r1 35.93s agreeQ_all=False [304/2694 1785/h]
         s28000000097_p37_r1 29.464s agreeQ_all=True [305/2694 1782/h]
         s28000000096_p57_r3 31.457s agreeQ_all=True [306/2694 1786/h]
        s28000000095_p130_r3 38.976s agreeQ_all=False [307/2694 1785/h]
         s28000000097_p37_r2 33.538s agreeQ_all=True [308/2694 1784/h]
         s28000000096_p57_r1 38.817s agreeQ_all=True [309/2694 1788/h]
         s28000000098_p60_r2 31.512s agreeQ_all=False [310/2694 1788/h]
        s28000000097_p116_r1 37.16s agreeQ_all=False [311/2694 1790/h]
        s28000000099_p120_r2 25.858s agreeQ_all=False [312/2694 1795/h]
        s28000000099_p120_r1 27.373s agreeQ_all=False [313/2694 1797/h]
         s28000000099_p49_r3 28.785s agreeQ_all=False [314/2694 1802/h]
         s28000000097_p37_r3 39.816s agreeQ_all=True [315/2694 1806/h]
         s28000000099_p49_r1 33.824s agreeQ_all=True [316/2694 1808/h]
        s28000000098_p125_r2 41.578s agreeQ_all=True [317/2694 1796/h]
         s28000000101_p29_r1 19.328s agreeQ_all=False [318/2694 1800/h]
         s28000000102_p10_r1 19.733s agreeQ_all=True [319/2694 1790/h]
         s28000000102_p10_r2 19.639s agreeQ_all=False [320/2694 1795/h]
          s28000000103_p9_r2 16.877s agreeQ_all=True [321/2694 1799/h]
          s28000000103_p9_r3 20.091s agreeQ_all=True [322/2694 1795/h]
        s28000000098_p125_r1 52.893s agreeQ_all=True [323/2694 1800/h]
        s28000000098_p125_r3 53.863s agreeQ_all=True [324/2694 1800/h]
        s28000000101_p103_r3 29.916s agreeQ_all=True [325/2694 1802/h]
         s28000000104_p30_r1 24.665s agreeQ_all=True [326/2694 1798/h]
         s28000000100_p86_r3 36.97s agreeQ_all=False [327/2694 1802/h]
         s28000000100_p86_r2 40.477s agreeQ_all=False [328/2694 1806/h]
         s28000000104_p30_r2 24.598s agreeQ_all=True [329/2694 1812/h]
         s28000000102_p37_r1 33.474s agreeQ_all=True [330/2694 1806/h]
         s28000000104_p91_r1 27.662s agreeQ_all=False [331/2694 1797/h]
         s28000000105_p16_r2 23.742s agreeQ_all=False [332/2694 1797/h]
         s28000000103_p71_r3 38.078s agreeQ_all=True [333/2694 1801/h]
         s28000000105_p16_r3 24.525s agreeQ_all=True [334/2694 1804/h]
         s28000000103_p71_r2 41.89s agreeQ_all=False [335/2694 1803/h]
         s28000000107_p24_r1 22.702s agreeQ_all=False [336/2694 1803/h]
         s28000000106_p30_r1 29.131s agreeQ_all=True [337/2694 1806/h]
         s28000000107_p24_r2 22.662s agreeQ_all=True [338/2694 1811/h]
         s28000000106_p30_r3 28.879s agreeQ_all=True [339/2694 1809/h]
         s28000000108_p93_r2 22.049s agreeQ_all=True [340/2694 1811/h]
         s28000000104_p91_r2 41.592s agreeQ_all=False [341/2694 1812/h]
         s28000000108_p93_r1 25.291s agreeQ_all=True [342/2694 1813/h]
         s28000000107_p73_r3 28.399s agreeQ_all=False [343/2694 1812/h]
         s28000000107_p73_r1 33.82s agreeQ_all=True [344/2694 1804/h]
         s28000000110_p94_r1 23.62s agreeQ_all=False [345/2694 1800/h]
         s28000000110_p98_r3 23.343s agreeQ_all=False [346/2694 1791/h]
